Name,FileSource,Secondary,Storage,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,EntityLimitCount,LimitType,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,PanType,Pan,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice
zmqol_wf_start,raw\sound\zmb\level\zm_tomb\random_perk_machine\rand_perk_mach_start.SN50.pc.snd.flac,,streamed,bus_fx,grp_ambience,snp_ambience,,60,0,87,87,37,250,300,allon,default,allon,default,6,8,priority,oldest,-50,50,10,50,0,1,3d,default,nonlooping,,1,0,0,0,0,0.3,no,yes,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
zmqol_wf_loop,raw\sound\zmb\level\zm_tomb\random_perk_machine\rand_perk_mach_loop.SL50.pc.snd.flac,,streamed,bus_fx,grp_ambience,snp_ambience,,60,0,90,90,37,250,300,allon,default,allon,default,6,8,priority,oldest,-50,50,10,50,0,1,3d,default,looping,,1,0,0,0,0,0.3,no,yes,none,0,,no,,,no,no,no,300,1000,yes,no,,0,,no,no,no
zmqol_wf_stop,raw\sound\zmb\level\zm_tomb\random_perk_machine\rand_perk_mach_stop.SN50.pc.snd.flac,,streamed,bus_fx,grp_ambience,snp_ambience,,60,0,87,87,37,250,300,allon,default,allon,default,6,8,priority,oldest,-50,50,10,50,0,1,3d,default,nonlooping,,1,0,0,0,0,0.3,no,yes,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
zmqol_wf_leave,raw\sound\zmb\level\zm_tomb\random_perk_machine\rand_perk_mach_leave.SN50.pc.snd.flac,,streamed,bus_fx,grp_ambience,snp_ambience,,60,0,87,87,75,350,400,allon,default,allon,default,6,8,priority,oldest,-50,50,10,50,0,1,3d,default,nonlooping,,1,0,0,0,0,0.3,no,yes,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
zmqol_cherry_zap,raw\sound\wpn\grenade\taser_mine\explode\tazer_mine.LN50.pc.snd.wav,,loaded,bus_hdrfx,grp_hdrfx,snp_hdrfx,,60,0,89,89,125,625,750,allon,default,allon,default,8,8,priority,oldest,0,0,95,100,0.25,1,3d,default,nonlooping,,1,0,37,50,95,0,no,no,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
zmqol_vult_stink_start,raw\sound\zmb\powerup\vulture\stink\start.LN50.pc.snd.wav,,loaded,bus_hdrfx,grp_hdrfx,snp_hdrfx,,19.234,0,81,81,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,95,100,0,1,2d,quad,nonlooping,,1,0,0,0,0,0,no,yes,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
zmqol_vult_stink_stop,raw\sound\zmb\powerup\vulture\stink\stop.LN50.pc.snd.wav,,loaded,bus_hdrfx,grp_hdrfx,snp_hdrfx,,19.234,0,81,81,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,95,100,0,1,2d,quad,nonlooping,,1,0,0,0,0,0,no,yes,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
zmqol_vult_stink_ploop,raw\sound\zmb\powerup\vulture\stink\loop.LL50.pc.snd.wav,,loaded,bus_hdrfx,grp_hdrfx,snp_hdrfx,,19.234,0,74,74,0,5000,5000,allon,default,allon,default,8,8,priority,oldest,0,0,95,100,0,1,2d,quad,looping,,1,0,0,0,0,0,no,yes,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
zmqol_vult_stink_loop,raw\sound\amb\insects\loud_flies\flies_loop.LL50.pc.snd.wav,,loaded,bus_fx,grp_ambience,snp_ambience,,60,0,68,68,75,225,275,allon,default,allon,default,7,8,priority,oldest,0,0,10,50,0,1,3d,default,looping,,1,0,0,0,0,0.1,no,yes,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
zmqol_vult_drop_spawn,raw\sound\zmb\powerup\vulture\drop.LN50.pc.snd.wav,,loaded,bus_fx,grp_ambience,snp_ambience,,60,0,80,80,75,225,275,allon,default,allon,default,6,8,priority,oldest,-50,50,10,50,0,1,3d,default,nonlooping,,1,0,0,0,0,0.1,no,yes,none,0,,no,,,no,no,no,0,0,yes,no,,0,,no,no,no
